  	 ID  	 < Сигнатура >  	 < Время >  	 < Адрес источника >  	 < Адрес назначения >  	 < Слой для прото > 
	#0-(1-24) 	[snort] COMMUNITY SIP TCP/IP message flooding directed to SIP proxy 	2019-02-04 20:14:36 	192.168.1.69:2540 	209.197.3.15:443 	TCP
	#1-(1-21) 	arachNIDS[snort] SCAN nmap XMAS 	2019-02-04 20:10:48 	192.168.1.2:59049 	192.168.1.66:1 	TCP
	#2-(1-14) 	[url] [url] [EmThreats] ET SCAN Potential SSH Scan 	2019-02-04 20:10:47 	192.168.1.2:59032 	192.168.1.66:22 	TCP
	#3-(1-13) 	[url] [EmThreats] ET POLICY Suspicious inbound to PostgreSQL port 5432 	2019-02-04 20:10:41 	192.168.1.2:40839 	192.168.1.66:5432 	TCP
	#4-(1-12) 	[url] [EmThreats] ET POLICY Suspicious inbound to Oracle SQL port 1521 	2019-02-04 20:10:40 	192.168.1.2:40839 	192.168.1.66:1521 	TCP
	#5-(1-11) 	[cve] [icat] arachNIDS[snort] DDOS mstream client to handler 	2019-02-04 20:10:40 	192.168.1.2:40839 	192.168.1.66:15104 	TCP
	#6-(1-10) 	[url] [EmThreats] ET POLICY Suspicious inbound to MSSQL port 1433 	2019-02-04 20:10:40 	192.168.1.2:40839 	192.168.1.66:1433 	TCP
	#7-(1-9) 	[cve] [icat] [cve] [icat] [bugtraq] [bugtraq] [bugtraq] [snort] SNMP trap tcp 	2019-02-04 20:10:40 	192.168.1.2:40839 	192.168.1.66:162 	TCP
	#8-(1-8) 	[url] [EmThreats] ET POLICY Suspicious inbound to mSQL port 4333 	2019-02-04 20:10:40 	192.168.1.2:40839 	192.168.1.66:4333 	TCP
	#9-(1-7) 	[cve] [icat] [cve] [icat] [bugtraq] [bugtraq] [bugtraq] [snort] SNMP AgentX/tcp request 	2019-02-04 20:10:40 	192.168.1.2:40839 	192.168.1.66:705 	TCP
	#10-(1-6) 	[url] [EmThreats] ET SCAN Potential VNC Scan 5800-5820 	2019-02-04 20:10:39 	192.168.1.2:40839 	192.168.1.66:5801 	TCP
	#11-(1-5) 	[url] [EmThreats] ET SCAN Potential VNC Scan 5900-5920 	2019-02-04 20:10:38 	192.168.1.2:40839 	192.168.1.66:5907 	TCP
	#12-(1-4) 	[cve] [icat] [cve] [icat] [bugtraq] [bugtraq] [bugtraq] [snort] SNMP request tcp 	2019-02-04 20:10:38 	192.168.1.2:40839 	192.168.1.66:161 	TCP
	#13-(1-3) 	[snort] COMMUNITY SIP TCP/IP message flooding directed to SIP proxy 	2019-02-04 20:10:38 	192.168.1.66:17210 	192.168.1.2:40839 	TCP
	#14-(1-2) 	[snort] COMMUNITY SIP TCP/IP message flooding directed to SIP proxy 	2019-02-04 20:10:38 	192.168.1.2:40839 	192.168.1.66:38728 	TCP
	#15-(1-1) 	[url] [EmThreats] ET POLICY Suspicious inbound to mySQL port 3306 	2019-02-04 20:10:38 	192.168.1.2:40839 	192.168.1.66:3306 	TCP
